roomName,capacity,fullName,section
CA.CA01.L02.145,156,Room 145 Dechaineux Theatre,Finance and Administration
DM.DM02.L02.214,86,DM_ Room 214 Lecture Theatre,Finance and Administration
IR.IR01.L01.181,40,IR.IA 181 Lecture / Video Conf Room,Finance and Administration
IR.IR03.L01.108,150,Room 108 Rory Spence VOS Construction LT (IR.IC108.LT),Finance and Administration
MR.AL09.L02.202,40,CC.D202 Seminar Room,Finance and Administration
MS.MS01.L01.105,170,MS01.105 Lecture Th 1,Finance and Administration
MS.MS02.L01.115,250,Room 115 MS2 Lecture Theatre 2,Finance and Administration
NH.AS23.L01.137,35,NH.V137 Seminar / Video Conf Room,Computing and Information Systems
NH.AZ19.L01.151,291,NH.L151.Lecture Theatre 9,Finance and Administration
NH.BA25.L02.227,50,NH.C227 Lecture Room,Finance and Administration
NH.BA27.L02.150,166,NH.D150 Lecture Th6,Finance and Administration
NH.BE21.L01.130,80,NH.X130 Flexible Learning Space,Finance and Administration
NH.BE21.L01.138,270,NH.X138 Lecture Th5 SRFC,Finance and Administration
NH.BF24.L00.023,35,NH.A023 Video Conference Rm,Information Technology Services
NH.BF24.L01.150,112,NH.A150 Lecture Th1,Finance and Administration
NH.BF24.L01.153,112,NH.A153 Lecture Th2 / Video Conf,Finance and Administration
NH.BF24.L02.221C,32,NH.A221c Video Conference Rm,"Education, Faculty of"
SA.SA02.L01.101,93,101 Aurora Lecture Theatre,Finance and Administration
SA.SA02.L01.107,48,107 Investigator Computer Lab,IMAS
SA.SA02.L01.110,60,110 UG Wet Lab,IMAS
SB.AL14.L01.132,60,SB.AL14 Law 132 Seminar Room,Finance and Administration
SB.AL14.L02.226,108,SB.AL14 Law226 Lecture Th2,Finance and Administration
SB.AL14.L02.229,182,SB.AL14 Law229 Lecture Th1,Finance and Administration
SB.AP16.L02.201,141,Room  201 Lecture Th1,Finance and Administration
SB.AR15.L01.132,62,"Centen132 - ""Harvard"" Room 1",Finance and Administration
SB.AR15.L01.134,62,"Centen134 - ""Harvard"" Room 2",Finance and Administration
SB.AR15.L01.146,152,SB.Centen146 - Centenary Lth,Finance and Administration
SB.AR15.L04.473,40,SB.Centen473.Video Seminar / Video Conf Room,Computing and Information Systems
SB.AS13.L02.211,150,SB.Geo211 Lecture Th,Finance and Administration
SB.AS13.L02.229,28,SB.Geo229 Lecture Rm,Finance and Administration
SB.AU14.L02.212,190,SB.Physics212 Lecture Th1,Finance and Administration
SB.AU14.L03.314,113,SB.Physics314 Lecture Th2,Finance and Administration
SB.AU14.L03.315,85,SB.Physics315 Lecture Th3,Finance and Administration
SB.AX16.L02.203,310,Room 203.Arts Lecture Theatre,Finance and Administration
SB.AX17.L02.209,99, Video Conf (SB.SocSci209),Information Technology Services
SB.AX17.L02.210,50,SB.SocSci210 Video Conf/Seminar room,Finance and Administration
SB.AX19.L02.208,349,SB.UniCentre208.LT1 (Stanley Burbury Theatre),Finance and Administration
SB.AX19.L02.208-209,573,Combined Lecture Theatre,CMLS (Finance and Administration)
SB.BA22.L01.106,151,Lecture Theatre 1 (SB.LifeSci106.LT1),Finance and Administration
